"iata","name","city","country","latitude","longitude","source_type","scheduled_service","proposed_demand_index","proposed_airport_tax","review_note"
"CKY","Ahmed Sékou Touré International Airport","Conakry","Guinea","9.57689","-13.612","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"OXB","Osvaldo Vieira International Airport","Bissau","Guinea-Bissau","11.894262","-15.653596","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GEO","Cheddi Jagan International Airport","Georgetown","Guyana","6.49855","-58.254101","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CAP","Cap Haitien International Airport","Cap Haitien","Haiti","19.725547","-72.20071","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PAP","Toussaint Louverture International Airport","Port-au-Prince","Haiti","18.580023","-72.292596","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"RTB","Juan Manuel Gálvez International Airport","Coxen Hole","Honduras","16.316799","-86.523003","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"XPL","Palmerola International Airport","Palmerola","Honduras","14.3824","-87.621201","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SAP","Ramón Villeda Morales International Airport","San Pedro Sula","Honduras","15.4526","-87.923599","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BUD","Budapest Liszt Ferenc International Airport","Budapest","Hungary","47.43018","19.262393","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"DEB","Debrecen International Airport","Debrecen","Hungary","47.489469","21.616278","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PEV","Pécs-Pogány International Airport","Pécs","Hungary","45.988891","18.242044","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AEY","Akureyri International Airport","Akureyri","Iceland","65.656573","-18.072018","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KEF","Keflavik International Airport","Reykjavík","Iceland","63.985001","-22.6056","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ATQ","Sri Guru Ram Das Ji International Airport","Amritsar","India","31.7096","74.797302","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BHO","Raja Bhoj International Airport","Bhopal","India","23.2875","77.337402","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BBI","Biju Patnaik International Airport","Bhubaneswar","India","20.251021","85.814747","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CCJ","Calicut International Airport","Calicut","India","11.135996","75.955152","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IXC","Shaheed Bhagat Singh International Airport","Chandigarh","India","30.6735","76.788498","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CJB","Coimbatore International Airport","Coimbatore","India","11.03","77.043404","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GAU","Lokpriya Gopinath Bordoloi International Airport","Guwahati","India","26.106654","91.585226","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HWR","Halwara International Airport","Halwara","India","30.748501","75.629799","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HSS","Maharaja Agrasen International Airport","Hisar","India","29.186065","75.74142","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IMF","Bir Tikendrajit International Airport","Imphal","India","24.76","93.896698","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IDR","Devi Ahilya Bai Holkar International Airport","Indore","India","22.721404","75.80051","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SAG","Shirdi International Airport","Kakadi","India","19.689211","74.373655","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CNN","Kannur International Airport","Kannur","India","11.916343","75.544979","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IXE","Mangaluru International Airport","Mangaluru","India","12.95471","74.886812","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GOX","Manohar International Airport","Mopa","India","15.744257","73.860625","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NAG","Dr. Babasaheb Ambedkar International Airport","Nagpur","India","21.092199","79.047203","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ISK","Nashik International Airport","Nashik","India","20.119101","73.912903","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NMI","Navi Mumbai International Airport","Navi Mumbai","India","18.984597","73.065253","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IXZ","Veer Savarkar International Airport / INS Utkrosh","Port Blair","India","11.640194","92.72902","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HSR","Rajkot International Airport","Rajkot","India","22.378824","71.039391","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IXB","Bagdogra Airport","Siliguri","India","26.6812","88.328598","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SXR","Sheikh ul Alam International Airport","Srinagar","India","33.987099","74.7742","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"STV","Surat International Airport","Surat","India","21.115531","72.743251","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TRV","Thiruvananthapuram International Airport","Thiruvananthapuram","India","8.481889","76.920029","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TRZ","Tiruchirappalli International Airport","Tiruchirappalli","India","10.762915","78.717741","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TIR","Tirupati International Airport","Tirupati","India","13.631988","79.539869","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BDQ","Vadodara International Airport","Vadodara","India","22.336201","73.226303","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VNS","Lal Bahadur Shastri International Airport","Varanasi","India","25.452171","82.862549","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VGA","Vijayawada International Airport","Vijayawada","India","16.530011","80.804888","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"VTZ","Visakhapatnam International Airport","Visakhapatnam","India","17.723506","83.227729","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BDJ","Syamsudin Noor International Airport","Banjarbaru","Indonesia","-3.440112","114.761209","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SOC","Adisoemarmo International Airport","Surakarta","Indonesia","-7.516044","110.757492","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ABD","Abadan Ayatollah Jami International Airport","Abadan","Iran","30.367887","48.230075","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AWZ","Qasem Soleimani International Airport","Ahvaz","Iran","31.3364","48.763789","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BND","Bandar Abbas International Airport","Bandar Abbas","Iran","27.2183","56.3778","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"XBJ","Birjand International Airport","Birjand","Iran","32.896525","59.281258","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"IFN","Isfahan Shahid Beheshti International Airport","Isfahan","Iran","32.755142","51.883877","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
