"iata","name","city","country","latitude","longitude","source_type","scheduled_service","reviewed_demand_index","reviewed_airport_tax","review_note"
"ZUH","Zhuhai Jinwan Airport","Zhuhai (Jinwan)","China","22.006399","113.375999","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"ZHA","Zhanjiang Wuchuan International Airport","Zhanjiang","China","21.481667","110.590278","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"CGO","Zhengzhou Xinzheng International Airport","Zhengzhou","China","34.526497","113.849165","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"EHU","Ezhou Huahu International Airport","Ezhou","China","30.341178","115.03926","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"LYA","Luoyang Beijiao Airport","Luoyang (Laocheng)","China","34.7411","112.388","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HAK","Haikou Meilan International Airport","Haikou (Meilan)","China","19.9349","110.459","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"SYX","Sanya Phoenix International Airport","Sanya (Tianya)","China","18.3029","109.412003","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"DNH","Dunhuang Mogao International Airport","Dunhuang","China","40.161953","94.812827","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"INC","Yinchuan Hedong International Airport","Yinchuan","China","38.322758","106.393214","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"JGN","Jiayuguan International Airport","Jiayuguan","China","39.859052","98.339344","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"LHW","Lanzhou Zhongchuan International Airport","Lanzhou (Yongdeng)","China","36.515202","103.620003","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"XNN","Xining Caojiabao International Airport","Haidong (Huzhu Tu Autonomous County)","China","36.52775","102.040215","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"JHG","Xishuangbanna Gasa International Airport","Jinghong (Gasa)","China","21.974648","100.762224","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"LJG","Lijiang Sanyi International Airport","Lijiang","China","26.677483","100.244944","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"XMN","Xiamen Gaoqi International Airport","Xiamen","China","24.543889","118.127454","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"KHN","Nanchang Changbei International Airport","Nanchang","China","28.864815","115.90271","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"FOC","Fuzhou Changle International Airport","Fuzhou (Changle)","China","25.929254","119.672524","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TNA","Jinan Yaoqiang International Airport","Jinan (Licheng)","China","36.857201","117.216003","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"LYG","Lianyungang Huaguoshan International Airport","Lianyungang","China","34.41406","119.17899","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"NGB","Ningbo Lishe International Airport","Ningbo","China","29.82670021057129","121.46199798583984","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HFE","Hefei Xinqiao International Airport","Hefei","China","31.98779","116.9769","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TAO","Qingdao Jiaodong International Airport","Qingdao (Jiaozhou)","China","36.361953","120.088171","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"JJN","Quanzhou Jinjiang International Airport","Quanzhou","China","24.795855","118.588599","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HIA","Huai'an Lianshui Airport","Huai'an","China","33.792712","119.126657","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TXN","Huangshan Tunxi International Airport","Huangshan","China","29.733299","118.255997","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"WUX","Sunan Shuofang International Airport","Wuxi","China","31.496952","120.43038","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"WNZ","Wenzhou Longwan International Airport","Wenzhou (Longwan)","China","27.910572","120.853465","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"YNZ","Yancheng Nanyang International Airport","Yancheng (Tinghu)","China","33.428317","120.20545","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"YNT","Yantai Penglai International Airport","Yantai","China","37.659724","120.978124","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"YIW","Yiwu Airport","Yiwu/Jinhua","China","29.342095","120.03116","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HSN","Zhoushan Putuoshan International Airport","Zhoushan","China","29.933874","122.362307","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"KWE","Guiyang Longdongbao International Airport","Guiyang (Nanming)","China","26.541805","106.80402","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"LXA","Lhasa Gonggar International Airport","Shannan (Gonggar)","China","29.298001","90.911951","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"RKZ","Xigaze Peace Airport / Shigatse Air Base","Xigazê (Samzhubzê)","China","29.350876","89.299157","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TFU","Chengdu Tianfu International Airport","Chengdu (Jianyang)","China","30.31252","104.441284","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"KHG","Kashgar Laining International Airport","Kashgar","China","39.542273","76.02023","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"URC","Ürümqi Tianshan International Airport","Ürümqi","China","43.913584","87.479372","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"CGQ","Changchun Longjia International Airport","Changchun","China","43.996201","125.684998","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HRB","Harbin Taiping International Airport","Harbin","China","45.623402","126.25","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"NDG","Qiqihar Sanjiazi Airport","Qiqihar","China","47.229969","123.914179","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"DLC","Dalian Zhoushuizi International Airport","Dalian (Ganjingzi)","China","38.965719","121.538477","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"SHE","Shenyang Taoxian International Airport","Shenyang","China","41.6398","123.483668","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
